"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"LQFP-48_7x7mm_Pitch0.5mm";1;"24AA256";;;
2;"C1,C2";"C_0805_HandSoldering";2;"100p";;;
3;"C3,C4,C8,C9,C13,C14";"C_0805_HandSoldering";6;"10u";;;
4;"C5";"C_0805_HandSoldering";1;"10n";;;
5;"C6,C7,C10,C11,C12,C19";"C_0805_HandSoldering";6;"100n";;;
6;"C15";"C_0805_HandSoldering";1;"3n3";;;
7;"C16";"C_0805_HandSoldering";1;"56n";;;
8;"C17,C18";"C_0805_HandSoldering";2;"22p";;;
9;"C20,C21,C22,C23";"C_0805_HandSoldering";4;"47u 16V";;;
10;"C24,C25,C26,C27";"C_0805_HandSoldering";4;"5n6";;;
11;"P1,P2";"JST_PH_B3B-PH-K_03x2.00mm_Straight";2;"CONN_01X03";;;
12;"P3";"JST_PH_B3B-PH-K_03x2.00mm_Straight";1;"CONN_01X02";;;
13;"Q1";"SOT-23";1;"ZXTP25040DFH";;;
14;"R1,R2";"R_0805_HandSoldering";2;"47k";;;
15;"R3,R4,R6,R13,R14";"R_0805_HandSoldering";5;"10k";;;
16;"R5,R7,R8,R9";"R_0805_HandSoldering";4;"18k0";;;
17;"R10";"R_0805_HandSoldering";1;"1k";;;
18;"R11";"R_0805_HandSoldering";1;"100R";;;
19;"R12";"R_0805_HandSoldering";1;"470R";;;
20;"U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"ADAU1701JSTZ";;;
21;"Y1";"Crystal_HC49-SD_SMD";1;"12.288MHz";;;
22;"P4";"Pin_Header_Straight_1x16";1;"CONN_01X14";;;
23;"R15,R16,R17,R18";"R_0805_HandSoldering";4;"560R";;;
24;"P5";"Pin_Header_Straight_1x02";1;"CONN_01X03";;;
25;"P6";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
26;"Q2";"SOT-23_Handsoldering";1;"MMBT2222A-TP";;;
